horizon_min,n,mae,brier,observed_yes_rate,predicted_mean
10,6425,0.39696396887159535,0.20041365295719846,0.45027237354085603,0.4482922178988327
30,6373,0.3963430880276165,0.20005426843715673,0.45002353679585755,0.4478174329201318
60,6251,0.39495864661654134,0.19951863057910735,0.44840825467925133,0.44713701807710765
120,6113,0.39342278750204485,0.19831991047767053,0.447407165058073,0.4455361524619663
180,5928,0.39143007759784076,0.19741312225877192,0.4438259109311741,0.44292349865047237
240,5755,0.3897154648132059,0.19644695886185926,0.4422241529105126,0.44036498696785403
300,5547,0.38662826753199925,0.1947901549486209,0.4402379664683613,0.43744546601766726
360,5365,0.38338639328984153,0.1933433856477167,0.43951537744641195,0.43606616961789374
420,5169,0.37936796285548463,0.1912768506480944,0.4362545946991681,0.43316270071580576
480,4960,0.3748245967741935,0.18899987711693547,0.4342741935483871,0.4295881048387097
540,4765,0.37023871983210915,0.18678090204616998,0.4287513116474292,0.426404721930745
600,4574,0.3654055531263664,0.18437082138172278,0.4274158285964145,0.4236646261477919
660,4403,0.3600464456052691,0.1814789622416534,0.42221212809448105,0.41995014762661825
720,4240,0.3546452830188679,0.1786315166273585,0.4179245283018868,0.41640919811320753
780,4105,0.3502200974421437,0.1765008457369062,0.4155907429963459,0.4139518879415347
840,3958,0.344844365841334,0.17380638542193025,0.4146033350176857,0.4108266801414856
900,3816,0.3392941561844864,0.17095122254979037,0.41168763102725364,0.4076772798742138
960,3667,0.33342173438778294,0.16822962796563948,0.4095991273520589,0.4036998909190074
1020,3529,0.32670898271465004,0.16470021167469537,0.403797109662794,0.39954179654293
1080,3367,0.31900668250668246,0.16091448180873177,0.3985743985743986,0.3950847935847936
1140,3197,0.3109587112918361,0.15675175617766657,0.3931811072880826,0.3909346262120738
1200,3066,0.3034957599478147,0.15302908969341159,0.38943248532289626,0.3868558382257012
1260,2903,0.29305494316224595,0.14797120246296933,0.38236307268343095,0.380077678263865
1320,2739,0.2816230376049653,0.1424914778203724,0.37458926615553123,0.3736412924424973
1380,2589,0.2687806102742371,0.13596070355349554,0.36732329084588644,0.36588489764387794
1440,2530,0.26315770750988143,0.13291334841897232,0.3624505928853755,0.36210118577075096
2880,2202,0.23932379654859218,0.12114662057220706,0.34650317892824706,0.3441089918256131
