horizon_min,n_total,low123_minus_high810_mean_abs_gap,decile1_minus_rest_mean_abs_gap,decile_trend_slope
10,6425,-0.015177164804094286,-0.0038212747732113486,0.0021118959726156347
30,6373,-0.014152691155600356,-0.002884700955880332,0.0019547052075401822
60,6251,-0.014590397129562655,-0.0031654180520697597,0.002017921828884734
120,6113,-0.013751079458416774,-0.0029224007293431,0.0019083780456143917
180,5928,-0.013925543552901034,-0.0026949289258545676,0.0019586021320880218
240,5755,-0.011919197020953284,-0.0023310995039000273,0.0016598305191255986
300,5547,-0.011909473198801805,-0.002353699182779922,0.0016410203902687355
360,5365,-0.011964202697532211,-0.002278751217439784,0.0016765985153993916
420,5169,-0.01224528010255559,-0.0027760786196024,0.0017107600752390123
480,4960,-0.01173442921905101,-0.002270433290867577,0.00161933656056753
540,4765,-0.011063273234877987,-0.0016143295540754447,0.0015151273024595622
600,4574,-0.010462556024274091,-0.0013172564606251276,0.001440637749375133
660,4403,-0.009572901389835249,-0.000997652483915621,0.0013242323804249763
720,4240,-0.006212339723645198,0.0002440256810658306,0.0008715677800800724
780,4105,-0.008365393352657523,-0.0007166352517493941,0.0011403202505411618
840,3958,-0.009350845317748145,-0.0016840168309208512,0.0012615756332252557
900,3816,-0.007725913940448047,-0.0003138945795947874,0.0010319568020551487
960,3667,-0.005569180205130217,0.0006104467461952191,0.0007406137251766179
1020,3529,-0.007436394039226121,-0.0003194391149945741,0.0010706504915125583
1080,3367,-0.006226192336416367,-0.0008968242327897519,0.0008892598277324268
1140,3197,-0.006036726084994039,-0.0009303991634597338,0.0008925068991564266
1200,3066,-0.004426577753283747,0.0013791247800819216,0.0006405343351682897
1260,2903,-0.0053141302678775815,0.0011400366196719653,0.0007642628156535575
1320,2739,-0.002510937366745493,0.0026050109100344866,0.00037238711733328465
1380,2589,-0.00244869916316115,0.004583358189481725,0.0003569104279116357
1440,2530,-0.001235305508752036,0.0034623868977150113,0.00014163815732369482
2880,2202,-0.001803184600788977,0.0023499522768844865,0.00023017939947838048
