model,term,coefficient,std_error,t_stat,n_obs,r2,rmse,is_focus_term
baseline,intercept,1.103931952856715,0.008751382378308867,126.1437228012017,117536,0.06187589441917807,0.2218863944057076,True
baseline,log_volume,-0.05189975805996521,0.0006984391229419602,-74.30820576223368,117536,0.06187589441917807,0.2218863944057076,True
baseline,log_horizon,-0.01836115010389272,0.000480641439090706,-38.20134638958508,117536,0.06187589441917807,0.2218863944057076,True
with_controls,intercept,1.1214481942125043,0.00831660929600322,134.84440043990617,117536,0.26855585269306603,0.19592556593039057,True
with_controls,log_volume,-0.04559108906706173,0.00062517761362773,-72.92501854394538,117536,0.26855585269306603,0.19592556593039057,True
with_controls,log_horizon,-0.004458073343487961,0.0005766900516664897,-7.730449538023495,117536,0.26855585269306603,0.19592556593039057,True
with_controls,log1p_staleness,-0.05709271650921866,0.0003245984372959827,-175.88721925102521,117536,0.26855585269306603,0.19592556593039057,True
with_controls,volatility_std,0.1289607007036382,0.01899438666890622,6.789411153493397,117536,0.26855585269306603,0.19592556593039057,True
with_controls,h_30,0.002606572361653966,0.003067985531800847,0.8496038637196439,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_60,0.0029999078857939018,0.002876679804945736,1.0428369124142025,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_120,0.004554503312250743,0.002729140210203355,1.6688418188347223,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_180,0.004620122836631129,0.0026848115751737073,1.7208369031753028,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_240,0.006718642320268193,0.002673206952115195,2.5133266674142147,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_300,0.005914380237921174,0.0026875857528428615,2.200629405653416,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_360,0.004394010668789079,0.002708112899124358,1.6225359992228685,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_420,0.0016586856211324838,0.0027401183500915883,0.605333569287999,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_480,0.0028293174787115826,0.0027818098061358747,1.0170779729336346,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_540,-0.004317536226516405,0.002826516858723225,-1.5275112239969773,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_600,-0.004108296621208054,0.002874477118970626,-1.4292326747339943,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_660,-0.009479732724430262,0.002921426394269925,-3.2448987053118215,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_720,-0.012601458508767604,0.002969534089758973,-4.24358102243252,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_780,-0.013598611030806928,0.003011765928302841,-4.515161986200527,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_840,-0.017350611470831726,0.0030612784905262747,-5.667766433052918,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_900,-0.02018785029282012,0.003112293953488034,-6.486485722274091,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_960,-0.022995474748580505,0.0031695075780671274,-7.255219993070318,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_1020,-0.028124012788543883,0.003226036632699316,-8.717821894357018,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_1080,-0.033531550955365974,0.003297155090380788,-10.16984340627223,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_1140,-0.03737235661257711,0.0033776370637375996,-11.064645462891118,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_1200,-0.042280141835614474,0.003444141751832741,-12.275958680596064,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_1260,-0.04684362246965438,0.00353352889025249,-13.256895280770479,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_1320,-0.05028307883804805,0.0036319658169719506,-13.844590332617765,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_1380,-0.062325952590299355,0.0037296324220359224,-16.71101747776984,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_1440,-0.06625793552984455,0.003770193767732648,-17.574145948920638,117536,0.26855585269306603,0.19592556593039057,False
with_controls,h_2880,-0.08113100572481077,0.0040259473272960585,-20.1520286106924,117536,0.26855585269306603,0.19592556593039057,False
